Row,Defect,Drilling_Stress,Milling_Stress,Assembly_Stress,Max_Stress,Most_Abnormal_Zone,Zone_Status,Likely_Zone,Zone_Confidence,Drilling_Probability,Milling_Probability,Assembly_Probability,Evidence
1709,Crack,1.2778353511501708,1.207489361899597,0.9114556678243092,1.2778353511501708,Drilling,Drilling,Drilling,Medium,0.4631183695198387,0.21582966514869267,0.3210519653314686,Drilling stress = 1.28; Assembly stress = 0.91
1710,Crack,0.6303633053498761,0.2646423778180763,0.4138143616621268,0.6303633053498761,Drilling,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1711,Crack,1.516824570247307,0.7629141985761061,0.9215514018101136,1.516824570247307,Drilling,Drilling,Drilling,High,0.5596993730956431,0.13167572266387598,0.30862490424048095,Drilling stress = 1.52; Assembly stress = 0.92
1712,Crack,0.2299552410642533,0.2962355404711372,0.6550793413432778,0.6550793413432778,Assembly,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1713,Crack,1.0269735468098555,1.245248827424679,0.9178845904859968,1.245248827424679,Milling,Milling,Drilling,Low,0.39704355393720486,0.24694708486836664,0.3560093611944285,Drilling stress = 1.03; Assembly stress = 0.92
1714,Crack,0.814108644708029,0.7648266829674533,0.7681329531974405,0.814108644708029,Drilling,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1715,Crack,0.3395666158467392,0.4853905474342749,0.66575376018041,0.66575376018041,Assembly,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1716,Crack,1.235369029183603,1.1410695373985642,1.5155052327742116,1.5155052327742116,Assembly,Assembly,Assembly,Medium,0.35993037261239197,0.1637701517374563,0.47629947565015174,Assembly stress = 1.52; Drilling stress = 1.24
1717,Crack,1.501659465413179,0.9195316835362392,0.9135461999777156,1.501659465413179,Drilling,Drilling,Drilling,High,0.5450398337011279,0.15225913715069855,0.30270102914817354,Drilling stress = 1.50; Assembly stress = 0.91
1718,Crack,1.378264344223467,1.1292067355251494,0.9198086986495768,1.378264344223467,Drilling,Drilling,Drilling,Medium,0.4945532730247255,0.19276080869182083,0.3126859182834537,Drilling stress = 1.38; Assembly stress = 0.92
1719,Crack,1.2433971864489206,0.7814953487576547,0.9058530735264372,1.2433971864489206,Drilling,Drilling,Drilling,Medium,0.492959893779133,0.15530311705243302,0.35173698916843404,Drilling stress = 1.24; Assembly stress = 0.91
1720,Crack,0.5691978764178971,0.5458472043209205,0.3566347892992723,0.5691978764178971,Drilling,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1721,Crack,0.8138612628439341,0.7567494446155423,0.9075689351244044,0.9075689351244044,Assembly,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1722,Crack,0.2516801360933869,0.4448604684574656,0.4164125591804002,0.4448604684574656,Milling,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1723,Crack,1.1156973046199032,0.5658882441408907,0.9014454318441923,1.1156973046199032,Drilling,Drilling,Drilling,Low,0.47717321368324195,0.13767878338796719,0.3851480029287908,Drilling stress = 1.12; Assembly stress = 0.90
1724,Crack,1.2644097453899883,0.7904693515320051,0.91153912648988,1.2644097453899883,Drilling,Drilling,Drilling,Medium,0.49653905354633016,0.1545587933866714,0.3489021530669984,Drilling stress = 1.26; Assembly stress = 0.91
1725,Crack,0.2735249510879561,0.1221337956223536,0.3796634696781369,0.3796634696781369,Assembly,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1726,Crack,0.6846495282772639,0.4933614782458733,0.5450733594106933,0.6846495282772639,Drilling,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
