Demand,Entities In Part 1,Part 1 VA Time,Drilling Queue Time,Part 1 Storage Time,Part 1 Stored,Entities In Part 2,Part 2 VA Time,Milling Queue Time,Part 2 Storage Time,Part 2 Stored,Entities Out,Assembly Time,Assembly Queue Time,Drilling Utilization,Milling Utilization,Assembly Utilization,WIP_Stored,Drilling_Util_Pct,Milling_Util_Pct,Assembly_Util_Pct,Drilling_Score,Milling_Score,Assembly_Score,Bottleneck_Zone,Bottleneck_Score,Throughput_Gap,Throughput_Loss_Percent
14,9730,2.996054,1.045646,24.699138,304,9898,2.999336,0.324037,66.141226,472,9426,3.007082,2.771477,0.674806,0.514987,0.985519,776.0,67.4806,51.4987,98.5519,0.6895302035515255,0.6120263791147186,1.928088926413297,Assembly,1.928088926413297,304,3.1243576567317572
16,5656,2.997236,0.074673,0.237385,21,6088,2.988255,0.010939,56.295513,453,5635,3.001099,0.42699,0.392134,0.315838,0.588224,474.0,39.2134,31.5838,58.822399999999995,0.3931855035220362,0.3191139029621182,0.7334418505826364,Assembly,0.7334418505826364,21,0.3712871287128713
13,6705,2.999964,0.203375,19.902033,369,6336,3.003804,0.011318,5.542728,0,6336,3.003315,0.725906,0.465466,0.330418,0.660729,369.0,46.5466,33.0418,66.0729,0.4683298132764736,0.3338074021140191,0.9076071682124625,Assembly,0.9076071682124625,369,5.503355704697987
15,10010,3.001397,1.246123,35.378561,623,9898,3.003159,0.258628,30.806192,511,9387,2.999606,2.835647,0.695056,0.516064,0.978842,1134.0,69.5056,51.606399999999994,97.88419999999999,0.7126032088089446,0.593515342105011,1.943235925738545,Assembly,1.943235925738545,623,6.223776223776223
3,2301,3.007158,0.0,3.249643,48,2262,3.001732,0.0,15.845291,9,2253,2.982956,0.001128,0.160161,0.117881,0.233933,57.0,16.0161,11.7881,23.3933,0.16016100000000003,0.117881,0.23431662897364625,Assembly,0.23431662897364625,48,2.0860495436766624
13,9607,3.000355,0.742559,60.690001,457,9360,2.999404,0.29526,8.137791,210,9150,2.999467,2.4892,0.667232,0.487323,0.953792,667.0,66.7232,48.7323,95.3792,0.6776883015255807,0.5757445292618183,1.800360476241361,Assembly,1.800360476241361,457,4.756948058707193
4,2860,2.997501,0.000118,0.111943,17,2928,3.00728,0.0,47.353447,85,2843,2.998926,0.007253,0.19783,0.152476,0.296148,102.0,19.783,15.2476,29.614800000000002,0.19783166161016164,0.152476,0.2986147206966811,Assembly,0.2986147206966811,17,0.5944055944055944
10,6489,3.000376,0.141979,22.784405,324,6219,2.989765,0.025051,1.342304,54,6165,2.995438,0.622736,0.450681,0.322317,0.641904,378.0,45.0681,32.231700000000004,64.1904,0.4526802690605062,0.32981902441759064,0.8536944011813594,Assembly,0.8536944011813594,324,4.993065187239944
13,2868,3.00149,0.000193,1.137204,16,2900,2.991134,0.0,29.049308,48,2852,3.000825,0.008323,0.199259,0.150466,0.29754,64.0,19.9259,15.046599999999998,29.754,0.19926171771831522,0.150466,0.30037062406707254,Assembly,0.30037062406707254,16,0.5578800557880056
11,10860,2.999533,1.877193,63.109803,1351,10305,2.999835,0.35886,48.651328,796,9509,3.00594,2.928801,0.750336,0.535782,0.99347,2147.0,75.0336,53.578199999999995,99.347,0.7767695844420569,0.6432498249369915,1.9895452851454984,Assembly,1.9895452851454984,1351,12.440147329650092
5,3475,2.989087,4.2e-05,0.087577,16,3815,2.993564,0.00012,48.826363,356,3459,3.009632,0.020328,0.240035,0.198139,0.361638,372.0,24.0035,19.8139,36.1638,0.24003559142056602,0.1981749364069343,0.3685514838442208,Assembly,0.3685514838442208,16,0.46043165467625896
14,2908,3.004464,0.0,7.157588,4,2916,2.995139,0.0,9.601022,12,2904,2.988779,0.00198,0.202245,0.151629,0.301534,16.0,20.2245,15.1629,30.1534,0.20224499999999998,0.151629,0.302207391283528,Assembly,0.302207391283528,4,0.1375515818431912
18,8052,3.004879,0.29372,40.29446,595,7458,2.989378,0.0433,2.130415,1,7457,2.996724,1.066749,0.559452,0.387062,0.776025,596.0,55.94519999999999,38.7062,77.60249999999999,0.563588001158283,0.40002905350212264,1.1388227163192977,Assembly,1.1388227163192977,595,7.389468455042225
11,10164,3.003862,1.467536,40.356689,792,10094,3.001626,0.339088,49.192121,722,9372,2.999434,2.758715,0.705488,0.525736,0.977011,1514.0,70.5488,52.5736,97.7011,0.7261530231370766,0.6272827029544518,1.9152406135040119,Assembly,1.9152406135040119,792,7.792207792207792
2,5816,3.00172,0.075532,15.484732,65,5792,3.003941,0.014659,8.385615,41,5751,2.993513,0.422792,0.403758,0.301312,0.59844,106.0,40.3758,30.131200000000003,59.843999999999994,0.4048215994807553,0.3057019315770812,0.742230125022914,Assembly,0.742230125022914,65,1.1176066024759286
12,8652,2.999657,0.49355,36.494272,204,8484,3.001657,0.133897,3.607115,36,8448,2.996251,1.859286,0.600553,0.441299,0.879564,240.0,60.0553,44.1299,87.9564,0.6075028957226972,0.48139714232733755,1.5119008616089085,Assembly,1.5119008616089085,204,2.3578363384188625
20,14660,3.000825,50.858326,216.100193,5195,14360,3.00036,1.726576,249.081865,4895,9465,2.999829,2.860296,0.975622,0.747224,0.986833,10090.0,97.5622,74.7224,98.6833,1.691780570217688,1.2642818144914758,1.9596099670252531,Assembly,1.9596099670252531,5195,35.43656207366985
